CompanyName,localauthority_name,postcode,accountcode,Employees_thisyear,Employees_lastyear,percent_changefromprevyear,SIC_5DIGIT_CODE,SIC_5DIGIT_NAME,SIC_2DIGIT_CODE,SIC_2DIGIT_CODE_NUMERIC,SIC_2DIGIT_NAME,SIC_3DIGIT_CODE,SIC_3DIGIT_NAME,SIC_SECTION_LETTER,SIC_SECTION_CODE,SIC_SECTION_NAME,incorporationdate_formatted,age_of_firm_years
TRUSTCLEAN COMMERCIAL CONTRACT CLEANING LIMITED,Doncaster,DN59QH,20231130,229,229,0,81210,81210 : General cleaning of buildings,81,81,81 : Services to buildings and landscape activities,812,812 : Cleaning activities,N,N (77-82),Administrative and support service activities,2017-06-22T00:00:00Z,8.04931506849315
LEGER SHEARINGS GROUP LIMITED,Rotherham,S602XR,20231231,227,170,33.53,79120,79120 : Tour operator activities,79,79,"79 : Travel agency, tour operator and other reservation service and related activities",791,791 : Travel agency and tour operator activities,N,N (77-82),Administrative and support service activities,1987-03-25T00:00:00Z,38.31506849315068
HIGHFIELD AWARDING BODY FOR COMPLIANCE LIMITED,Doncaster,DN45JQ,20240731,225,210,7.14,85600,85600 : Educational support activities,85,85,85 : Education,856,856 : Educational support activities,P,P (85),Education,2008-01-21T00:00:00Z,17.473972602739725
TRUST EDUCATION LIMITED,Rotherham,S635DA,20240831,219,80,173.75,78200,78200 : Temporary employment agency activities,78,78,78 : Employment activities,782,782 : Temporary employment agency activities,N,N (77-82),Administrative and support service activities,2022-07-04T00:00:00Z,3.0136986301369864
DAVID JAMES ENTERPRISES LIMITED,Rotherham,S612RQ,20240131,213,207,2.9,47789,"47789 : Other retail sale of new goods in specialised stores (other than by opticians or commercial art galleries), nec",47,47,"47 : Retail trade, except of motor vehicles and motorcycles",477,477 : Retail sale of other goods in specialised stores,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,2004-11-01T00:00:00Z,20.695890410958903
STRATA HOMES YORKSHIRE LIMITED,Doncaster,DN45PL,20240629,213,205,3.9,41202,41202 : Construction of domestic buildings,41,41,41 : Construction of buildings,412,412 : Construction of residential and non-residential buildings,F,F (41-43),Construction,1981-11-10T00:00:00Z,43.68767123287671
SHEFFIELD SPORTS STADIUM LIMITED,Sheffield,S62BL,20240930,209,NA,NA,82301,82301 : Activities of exhibition and fair organizers,82,82,"82 : Office administrative, office support and other business support activities",823,823 : Organisation of conventions and trade shows,N,N (77-82),Administrative and support service activities,1961-11-06T00:00:00Z,63.71232876712329
DIRECT TRADE (YORKSHIRE) LIMITED,Doncaster,DN31QL,20240331,208,235,-11.49,22290,22290 : Manufacture of other plastic products,22,22,22 : Manufacture of rubber and plastic products,222,222 : Manufacture of plastics products,C,C (10-33),Manufacturing,1998-01-22T00:00:00Z,27.476712328767125
HORBURY GROUP LIMITED,Rotherham,S602AF,20240531,208,278,-25.18,70100,70100 : Activities of head offices,70,70,70 : Activities of head offices; management consultancy activities,701,701 : Activities of head offices,M,M (69-75),"Professional, scientific and technical activities",2007-04-18T00:00:00Z,18.235616438356164
HEB GROUP CLEANING & HYGIENE LTD,Doncaster,DN45NL,20240331,207,173,19.65,81210,81210 : General cleaning of buildings,81,81,81 : Services to buildings and landscape activities,812,812 : Cleaning activities,N,N (77-82),Administrative and support service activities,2001-05-31T00:00:00Z,24.12054794520548
DISTINCTION DOORS LIMITED,Barnsley,S753DH,20231231,197,190,3.68,46130,46130 : Agents involved in the sale of timber and building materials,46,46,"46 : Wholesale trade, except of motor vehicles and motorcycles",461,461 : Wholesale on a fee or contract basis,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,2004-11-26T00:00:00Z,20.627397260273973
KINGASIA FOODS LIMITED,Doncaster,DN45JJ,20240630,197,191,3.14,10850,10850 : Manufacture of prepared meals and dishes,10,10,10 : Manufacture of food products,108,108 : Manufacture of other food products,C,C (10-33),Manufacturing,1991-05-14T00:00:00Z,34.175342465753424
DONCASTER ROVERS LIMITED,Doncaster,DN45JW,20240630,193,191,1.05,93110,93110 : Operation of sports facilities,93,93,93 : Sports activities and amusement and recreation activities,931,931 : Sports activities,R,R (90-93),"Arts, entertainment and recreation",1999-03-24T00:00:00Z,26.30958904109589
O C MOTOR REPAIR LIMITED,Doncaster,DN45JQ,20231231,193,182,6.04,45200,45200 : Maintenance and repair of motor vehicles,45,45,45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,452,452 : Maintenance and repair of motor vehicles,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,2007-05-10T00:00:00Z,18.175342465753424
